,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,Almería,26,26.6,45.1,14,154,"1,260",14.0,16,12,16,0,0,47,3,1.14,0.86,2.00,1.14,2.00
1,Athletic Club,25,28.0,52.4,14,154,"1,260",14.0,23,17,21,2,3,23,1,1.64,1.21,2.86,1.50,2.71
2,Atlético Madrid,23,29.1,49.8,14,154,"1,260",14.0,20,16,20,0,0,43,2,1.43,1.14,2.57,1.43,2.57
3,Barcelona,25,26.5,64.3,14,154,"1,260",14.0,33,23,33,0,1,33,3,2.36,1.64,4.00,2.36,4.00
4,Betis,27,28.9,50.1,14,154,"1,260",14.0,16,9,13,3,3,33,7,1.14,0.64,1.79,0.93,1.57
5,Cádiz,27,29.3,40.6,14,154,"1,260",14.0,8,6,8,0,0,40,5,0.57,0.43,1.00,0.57,1.00
6,Celta Vigo,21,27.7,51.5,14,154,"1,260",14.0,14,12,13,1,2,31,3,1.00,0.86,1.86,0.93,1.79
7,Elche,26,28.9,43.4,14,154,"1,260",14.0,10,9,9,1,2,43,3,0.71,0.64,1.36,0.64,1.29
8,Espanyol,25,28.2,42.5,14,154,"1,260",14.0,16,9,14,2,2,28,4,1.14,0.64,1.79,1.00,1.64
9,Getafe,24,27.8,39.0,14,154,"1,260",14.0,12,7,12,0,2,46,6,0.86,0.50,1.36,0.86,1.36
10,Girona,25,26.5,52.7,14,154,"1,260",14.0,19,14,15,4,5,32,0,1.36,1.00,2.36,1.07,2.07
11,Mallorca,23,28.2,41.2,14,154,"1,260",14.0,13,9,11,2,3,59,2,0.93,0.64,1.57,0.79,1.43
12,Osasuna,22,28.4,46.1,14,154,"1,260",14.0,16,11,12,4,5,46,4,1.14,0.79,1.93,0.86,1.64
13,Rayo Vallecano,24,28.6,53.9,14,154,"1,260",14.0,19,13,16,3,4,39,2,1.36,0.93,2.29,1.14,2.07
14,Real Madrid,22,27.9,58.0,14,154,"1,260",14.0,33,24,30,3,5,24,1,2.36,1.71,4.07,2.14,3.86
15,Real Sociedad,27,26.1,56.0,14,154,"1,260",14.0,18,15,18,0,1,41,1,1.29,1.07,2.36,1.29,2.36
16,Sevilla,28,29.4,54.4,14,154,"1,260",14.0,13,10,13,0,0,57,6,0.93,0.71,1.64,0.93,1.64
17,Valencia,26,24.5,58.0,14,154,"1,260",14.0,22,12,18,4,6,41,4,1.57,0.86,2.43,1.29,2.14
18,Valladolid,28,28.6,48.2,14,154,"1,260",14.0,13,9,12,1,2,29,1,0.93,0.64,1.57,0.86,1.50
19,Villarreal,24,29.0,52.8,14,154,"1,260",14.0,14,7,13,1,1,32,2,1.00,0.50,1.50,0.93,1.43
20,Alavés,23,26.8,43.4,18,198,"1,620",18.0,20,10,18,2,3,43,4,1.11,0.56,1.67,1.00,1.56
21,Albacete,25,27.1,50.0,19,209,"1,710",19.0,21,12,18,3,3,45,5,1.11,0.63,1.74,0.95,1.58
22,Andorra,26,25.7,66.4,18,198,"1,620",18.0,20,15,18,2,2,26,3,1.11,0.83,1.94,1.00,1.83
23,Burgos,23,27.3,41.8,18,198,"1,620",18.0,17,15,16,1,1,37,3,0.94,0.83,1.78,0.89,1.72
24,Cartagena,26,31.0,53.4,18,198,"1,620",18.0,23,14,18,5,5,48,3,1.28,0.78,2.06,1.00,1.78
25,CD Mirandés,24,24.1,49.3,19,209,"1,710",19.0,21,17,19,2,2,38,3,1.11,0.89,2.00,1.00,1.89
