Id,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,Id_HomeTeam,Id_AwayTeam
0,SP2,2022-12-08,UD Ibiza,Racing Sant,1,0,H,0,0,D,6,7,4,4,22,13,3,6,1,4,0,1,2.7,3.1,2.75,2.55,2.9,2.75,2223,39,36
1,SP2,2022-12-08,Burgos,Eibar,1,2,A,1,0,H,7,17,3,5,4,12,2,7,4,2,0,0,3.1,3.0,2.5,3.0,2.8,2.45,2223,23,26
2,SP2,2022-12-08,Malaga,Granada,1,1,D,1,0,H,11,16,4,8,15,13,5,4,4,2,0,0,3.1,3.25,2.37,3.0,3.0,2.3,2223,33,27
3,SP2,2022-12-08,Levante,Ponferradina,0,0,D,0,0,D,19,3,7,0,6,12,7,6,4,2,0,0,1.5,4.2,7.0,1.44,4.1,6.75,2223,31,35
4,SP2,2022-12-08,Lugo,Sporting Gijon,0,1,A,0,0,D,14,9,1,2,10,15,7,2,2,4,0,1,3.4,3.1,2.3,3.1,2.9,2.3,2223,32,37
5,SP2,2022-12-07,Tenerife,Alaves,2,1,H,1,0,H,7,6,3,1,19,12,4,6,3,2,0,0,2.37,2.9,3.5,2.3,2.75,3.3,2223,38,20
6,SP2,2022-12-07,Cartagena,Villarreal B,0,1,A,0,0,D,14,14,3,4,17,10,5,3,1,3,0,0,1.72,3.6,5.25,1.73,3.4,4.5,2223,24,40
7,SP2,2022-12-07,Huesca,Andorra,1,0,H,0,0,D,8,6,3,0,19,15,4,1,2,3,1,1,2.62,3.0,3.1,2.55,2.8,2.85,2223,28,22
8,SP2,2022-12-06,Albacete,Zaragoza,0,0,D,0,0,D,10,10,3,4,7,10,7,4,0,2,0,0,2.5,3.0,3.2,2.45,2.95,2.8,2223,21,41
9,SP2,2022-12-06,Oviedo,Las Palmas,0,0,D,0,0,D,12,5,6,2,16,14,3,4,2,3,0,1,3.0,2.9,2.55,3.0,2.85,2.4,2223,34,29
10,SP2,2022-12-06,Leganes,CD Mirandes,2,2,D,1,1,D,13,9,4,3,13,13,2,2,3,2,0,1,2.0,3.1,4.5,1.95,3.0,3.9,2223,30,25
11,SP2,2022-12-05,Ponferradina,Burgos,1,2,A,1,1,D,10,8,3,4,7,5,6,0,1,0,0,0,2.75,3.0,2.75,2.65,2.9,2.65,2223,35,23
12,SP2,2022-12-04,Levante,Malaga,1,0,H,0,0,D,15,13,4,5,20,13,6,4,0,3,0,0,1.61,3.75,5.75,1.58,3.6,5.5,2223,31,33
13,SP2,2022-12-04,Eibar,Huesca,2,1,H,0,1,A,13,7,5,3,15,15,9,5,5,5,0,0,1.75,3.2,5.5,1.73,3.3,4.6,2223,26,28
14,SP2,2022-12-04,Racing Sant,Lugo,0,1,A,0,0,D,13,15,6,5,8,11,11,2,0,4,0,0,1.75,3.4,5.0,1.72,3.4,4.5,2223,36,32
15,SP2,2022-12-04,Andorra,Cartagena,0,1,A,0,0,D,25,2,10,2,11,19,6,0,1,1,0,0,2.2,3.1,3.6,2.1,3.0,3.4,2223,22,24
16,SP2,2022-12-03,CD Mirandes,Albacete,4,2,H,3,1,H,18,14,6,6,18,13,7,5,4,2,0,0,2.75,2.9,2.8,2.55,2.95,2.7,2223,25,21
17,SP2,2022-12-03,Zaragoza,UD Ibiza,2,1,H,0,1,A,10,7,6,3,8,10,9,7,1,4,0,0,1.72,3.4,5.75,1.73,3.3,4.6,2223,41,39
18,SP2,2022-12-03,Villarreal B,Leganes,0,0,D,0,0,D,5,13,1,3,19,12,3,9,3,4,0,0,2.6,2.9,3.1,2.4,2.9,3.0,2223,40,30
19,SP2,2022-12-03,Sporting Gijon,Las Palmas,0,1,A,0,1,A,8,6,1,1,18,11,3,4,5,0,0,0,2.75,3.0,2.75,2.6,2.9,2.7,2223,37,29
20,SP2,2022-12-02,Granada,Alaves,3,1,H,2,1,H,12,3,7,2,9,14,4,2,3,5,0,1,2.3,3.0,3.5,2.2,2.9,3.25,2223,27,20
