Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team,foto
0,Marcos Acuña,ARG,DF,Sevilla,31,1991,10,7,551,6.1,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,16,https://assets.laliga.com/squad/2022/t179/p169813/2048x2225/p169813_t179_2022_0_001_000.png
1,Álvaro Aguado,ESP,MF,Valladolid,26,1996,13,8,747,8.3,0,2,0,0,0,1,0,0.0,0.24,0.24,0.0,0.24,18,https://assets.laliga.com/squad/2022/t192/p442291/2048x2225/p442291_t192_2022_0_001_000.png
2,Joseph Aidoo,GHA,DF,Celta Vigo,27,1995,14,14,1260,14.0,1,0,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,6,https://assets.laliga.com/squad/2022/t176/p210171/2048x2225/p210171_t176_2022_0_001_000.png
3,Sergio Akieme,ESP,DF,Almeria,24,1997,14,14,1260,14.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0,https://assets.laliga.com/squad/2022/t1564/p220871/2048x2048/p220871_t1564_2022_0_003_000.png
4,Paul Akouokou,CIV,MF,Betis,24,1997,6,2,238,2.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4,https://assets.laliga.com/squad/2022/t185/p475177/2048x2225/p475177_t185_2022_0_001_000.png
5,David Alaba,AUT,DF,Real Madrid,30,1992,14,13,1165,12.9,1,3,1,0,0,3,0,0.08,0.23,0.31,0.08,0.31,14,https://assets.laliga.com/squad/2022/t186/p50188/2048x2225/p50188_t186_2022_0_001_000.png
6,Tomás Alarcón,CHI,MF,Cadiz,23,1999,4,2,223,2.5,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,5,https://assets.laliga.com/squad/2022/t1737/p229357/2048x2048/p229357_t1737_2022_0_002_000.jpg
7,Jordi Alba,ESP,DF,Barcelona,33,1989,10,7,682,7.6,0,1,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,3,https://assets.laliga.com/squad/2022/t178/p52356/1024x1113/p52356_t178_2022_0_001_000.png
8,Raúl Albiol,ESP,DF,Villarreal,37,1985,13,13,1159,12.9,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,19,https://assets.laliga.com/squad/2022/t449/p18003/2048x2225/p18003_t449_2022_0_001_000.png
9,Rubén Alcaraz,ESP,MF,Cadiz,31,1991,10,5,513,5.7,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,5,https://assets.laliga.com/squad/2022/t1737/p96771/2048x2225/p96771_t1737_2022_0_001_000.png
