Id,Div,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA,Season,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWin3,HTWin5,HTLoss3,HTLoss5,ATLoss3,HTDG,ATDG,DiffPts,DiffFormPts,Journey,Med_HTDG,Med_ATDG,Med_DiffPts,Med_DiffFormPts,Med_HTP,Med_ATP,Med_HTGS,Med_ATGS,Med_HTGC,Med_ATGC,year,month,day,Prediccion
0,SP2,Alaves,Levante,2.37,3.0,3.25,2.4,2.95,2.9,2223,22,20,17,13,34,32,W,W,D,D,W,D,L,W,L,D,WDWLL,WDDWD,7,9,0,0,0,0,0,5,7,2,-2,20,0.25,0.35,0.1,-0.1,1.7,1.6,1.1,1.0,0.85,0.65,2022,12,12,Home
1,SP2,Las Palmas,Albacete,1.8,3.3,5.0,1.75,3.25,4.6,2223,22,21,10,24,35,26,D,L,D,L,W,W,W,L,D,D,DDWWD,LLWLD,9,4,0,0,0,0,0,12,-3,9,5,20,0.6,-0.15,0.45,0.25,1.75,1.3,1.1,1.05,0.5,1.2,2022,12,11,Home
2,SP2,Racing Sant,CD Mirandes,2.1,3.1,4.0,2.1,2.95,3.5,2223,9,21,15,25,18,20,W,D,L,W,L,L,L,W,L,D,WLLLL,DWLWD,3,8,0,0,1,0,0,-6,-4,-2,-5,20,-0.3,-0.2,-0.1,-0.25,0.9,1.0,0.45,1.05,0.75,1.25,2022,12,11,Away
3,SP2,Granada,Burgos,1.8,3.3,5.0,1.8,3.2,4.4,2223,23,18,14,9,29,34,L,L,W,W,L,D,W,W,D,L,LWLWD,LWDWL,7,7,0,0,0,0,0,9,9,-5,0,20,0.45,0.45,-0.25,0.0,1.45,1.7,1.15,0.9,0.7,0.45,2022,12,11,Away
4,SP2,Eibar,Oviedo,1.75,3.4,4.75,1.75,3.2,4.75,2223,23,12,17,14,33,24,D,W,D,D,L,W,W,W,W,D,DDLWW,WDWWD,8,11,0,0,0,0,0,6,-2,9,-3,20,0.3,-0.1,0.45,-0.15,1.65,1.2,1.15,0.6,0.85,0.7,2022,12,11,Home
5,SP2,Ponferradina,Lugo,2.25,3.3,3.25,2.2,3.2,3.0,2223,18,17,27,25,18,18,L,D,D,L,L,D,L,W,D,L,LDLLD,DLDWL,2,5,0,0,0,0,0,-9,-8,0,-3,20,-0.45,-0.4,0.0,-0.15,0.9,0.9,0.9,0.85,1.35,1.25,2022,12,11,Home
6,SP2,Sporting Gijon,Cartagena,2.2,3.1,3.5,2.1,3.1,3.4,2223,22,23,21,18,26,31,D,D,D,L,D,W,L,W,W,L,DDDLW,DLWWL,6,7,0,0,0,0,0,1,5,-5,-1,20,0.05,0.25,-0.25,-0.05,1.3,1.55,1.1,1.15,1.05,0.9,2022,12,11,Away
7,SP2,UD Ibiza,Malaga,2.3,3.0,3.4,2.25,2.95,3.2,2223,13,14,27,24,15,15,D,D,L,D,L,W,L,L,W,D,DLLLW,DDWLD,4,6,0,0,0,0,0,-14,-10,0,-2,20,-0.7,-0.5,0.0,-0.1,0.75,0.75,0.65,0.7,1.35,1.2,2022,12,11,Home
8,SP2,Zaragoza,Huesca,1.95,3.0,4.75,1.95,3.0,3.9,2223,14,16,17,14,22,27,L,W,D,L,D,D,W,L,D,W,LDDWD,WLDLW,6,7,0,0,0,0,0,-3,2,-5,-1,20,-0.15,0.1,-0.25,-0.05,1.1,1.35,0.7,0.8,0.85,0.7,2022,12,10,Away
9,SP2,Andorra,Leganes,2.1,3.1,3.8,2.05,3.95,3.6,2223,20,19,15,18,27,26,L,W,W,D,W,W,L,D,L,D,LWWLL,WDWDD,6,9,0,0,0,0,0,5,1,1,-3,20,0.25,0.05,0.05,-0.15,1.35,1.3,1.0,0.95,0.75,0.9,2022,12,10,Home
10,SP2,Villarreal B,Tenerife,2.9,3.0,2.62,2.9,2.87,2.45,2223,21,19,22,21,27,23,L,W,W,W,L,L,D,L,W,W,LWLDW,WWLLW,7,9,0,0,0,0,0,-1,-2,4,-2,20,-0.05,-0.1,0.2,-0.1,1.35,1.15,1.05,0.95,1.1,1.05,2022,12,10,Home
