iter	MultiClass
0	1.091137798
1	1.084220691
2	1.078525582
3	1.072661752
4	1.067725333
5	1.062774761
6	1.058403613
7	1.054309631
8	1.050307949
9	1.046822422
10	1.043672609
11	1.040617313
12	1.037967449
13	1.035378408
14	1.032870869
15	1.030466238
16	1.028124525
17	1.025812596
18	1.024002363
19	1.022329562
20	1.020808085
21	1.019126477
22	1.017694946
23	1.016288479
24	1.014815645
25	1.013711701
26	1.012617316
27	1.011522034
28	1.010361218
29	1.009294712
30	1.008472055
31	1.007632127
32	1.006768638
33	1.006025978
34	1.005253204
35	1.00459018
36	1.003910393
37	1.003357408
38	1.002654668
39	1.002026707
40	1.001376157
41	1.000947985
42	1.000344734
43	0.9998719206
44	0.9993944341
45	0.9989180547
46	0.9985699841
47	0.9981136331
48	0.997751786
49	0.9973536562
50	0.9970243602
51	0.9966995013
52	0.9963385388
53	0.995846505
54	0.9955365583
55	0.9951760886
56	0.9948898456
57	0.9946445668
58	0.9942683903
59	0.9940152408
60	0.9938272822
61	0.9935661815
62	0.9933442646
63	0.9931542141
64	0.9929165162
65	0.9927131796
66	0.9924312789
67	0.9921651194
68	0.9917882178
69	0.9916251168
70	0.9914879161
71	0.9913215252
72	0.9910418476
73	0.9905266305
74	0.9903165119
75	0.9901162845
76	0.9898107051
77	0.9896231232
78	0.9894681307
79	0.9892838995
80	0.9891569251
81	0.9890268638
82	0.9888310142
83	0.9886261436
84	0.9884953184
85	0.9883480139
86	0.9881958191
87	0.98793395
88	0.9877477716
89	0.9873811843
90	0.9872481835
91	0.9871439639
92	0.9869949249
93	0.9868642605
94	0.9867356666
95	0.9865653639
96	0.9864014426
97	0.9863028721
98	0.9862357283
99	0.986160019
100	0.986034681
101	0.9858911655
102	0.985726437
103	0.9856107561
104	0.9854286939
105	0.9853442519
106	0.9850501225
107	0.9849615513
108	0.9848455305
109	0.98476661
110	0.9846615859
111	0.9845453344
112	0.984448517
113	0.9843041361
114	0.984202691
115	0.9841264923
116	0.9839855472
117	0.983869319
118	0.9837784188
119	0.9836357085
120	0.9834921496
121	0.9833654411
122	0.9832026751
123	0.9829213463
124	0.9828331953
125	0.9826813308
126	0.9825920904
127	0.9824790714
128	0.9824156255
129	0.9823333763
130	0.9822394886
131	0.9821489277
132	0.9821018479
133	0.981963338
134	0.9818390063
135	0.981751196
136	0.9816632869
137	0.9815915488
138	0.9814663197
139	0.9813703831
140	0.9813061374
141	0.9811728595
142	0.9811044605
143	0.9809994371
144	0.9808840324
145	0.9807678323
146	0.9806859433
147	0.9805864874
148	0.9805026864
149	0.9803804397
150	0.9802875474
151	0.9801250968
152	0.9800069985
153	0.9799395423
154	0.9797771184
155	0.9794788869
156	0.9792926013
157	0.9792471599
158	0.9791666782
159	0.979061295
160	0.9789711142
161	0.9787672091
162	0.9785454518
163	0.9784636444
164	0.9782850296
165	0.9781907458
166	0.9781148216
167	0.9780459193
168	0.9779131295
169	0.9778674931
170	0.9777457215
171	0.9776710082
172	0.9775465202
173	0.9774338158
174	0.9773644324
175	0.9772923089
176	0.9772296271
177	0.9771829839
178	0.9770286844
179	0.9768990836
180	0.9768362775
181	0.9767447986
182	0.9766045354
183	0.9764916749
184	0.9764074119
185	0.976125378
186	0.9760077831
187	0.9759461572
188	0.975823345
189	0.9757469498
190	0.9756224253
191	0.9755761119
192	0.9754040387
193	0.9752915102
194	0.9752037157
195	0.975095192
196	0.9750292883
197	0.974953633
198	0.9748545272
199	0.9748159222
200	0.9747144578
201	0.9746549837
202	0.9746173788
203	0.9745375664
204	0.9744126937
205	0.9743560238
206	0.9741780259
207	0.9741131944
208	0.9740164637
209	0.9739433986
210	0.9738915164
211	0.9737399664
212	0.9736959386
213	0.9736190576
214	0.9734814432
215	0.973433599
216	0.9733953426
217	0.9732964831
218	0.9731878235
219	0.9731155921
220	0.9730425326
221	0.972980899
222	0.9729053315
223	0.9727811431
224	0.9726872538
225	0.9726134212
226	0.9725255195
227	0.9724503244
228	0.9723922759
229	0.9721977496
230	0.9721779036
231	0.9721265063
232	0.9720289867
233	0.9719559656
234	0.9718689574
235	0.9718238959
236	0.9717196257
237	0.971616717
238	0.9715346453
239	0.9714447014
240	0.9713805413
241	0.9712327352
242	0.9710592602
243	0.9710038109
244	0.9709531397
245	0.9708753909
246	0.9708293326
247	0.9706554881
248	0.97059717
249	0.9705021857
250	0.9704596691
251	0.9703751315
252	0.9703362078
253	0.9702334319
254	0.9701775733
255	0.9701105834
256	0.9699641498
257	0.9699155028
258	0.9698147148
259	0.9697073764
260	0.969622352
261	0.9694230177
262	0.969381124
263	0.969260234
264	0.9690629658
265	0.9688162743
266	0.9687685604
267	0.9687242735
268	0.9686378837
269	0.9685181036
270	0.968448091
271	0.9683700244
272	0.9682554887
273	0.9681859606
274	0.9680716506
275	0.9679864702
276	0.9679180534
277	0.9678115051
278	0.9677470273
279	0.9676981982
280	0.9676232802
281	0.9675509732
282	0.9674784691
283	0.9673562379
284	0.9672984191
285	0.9671365719
286	0.9670665622
287	0.9670066656
288	0.9669361928
289	0.9668603749
290	0.9667801227
291	0.9667053364
292	0.9666297982
293	0.9665602022
294	0.9664626121
295	0.966338672
296	0.9662456606
297	0.9661728292
298	0.9659582904
299	0.9658960433
300	0.9657525672
301	0.9656805169
302	0.9656175641
303	0.9655263968
304	0.9654011021
305	0.9653032767
306	0.9651762816
307	0.9650106058
308	0.9648854394
309	0.96479426
310	0.9645459434
311	0.9643799378
312	0.9643211222
313	0.9642664541
314	0.9641525885
315	0.9640798642
316	0.9636541292
317	0.9635824766
318	0.9634806383
319	0.9634071795
320	0.963282262
321	0.9631587614
322	0.9630817351
323	0.9629743534
324	0.9629139336
325	0.9628160631
326	0.9627010587
327	0.9625951266
328	0.9624950743
329	0.9624241659
330	0.9623630843
331	0.962285868
332	0.9622271689
333	0.9621689769
334	0.962111769
335	0.9620105429
336	0.9619449099
337	0.9618783114
338	0.9618177197
339	0.9617388297
340	0.961640055
341	0.9615498996
342	0.9614681888
343	0.9614256093
344	0.961314408
345	0.9612174246
346	0.9611050807
347	0.9610462638
348	0.9608613514
349	0.9607734712
350	0.9607308395
351	0.9606555821
352	0.9605820661
353	0.9605253256
354	0.9604562856
355	0.9603627079
356	0.960282994
357	0.9600704645
358	0.960014612
359	0.9598995897
360	0.959833306
361	0.9597206375
362	0.9595811556
363	0.9594801001
364	0.9593471572
365	0.9592389252
366	0.9591794646
367	0.9590084212
368	0.9589288055
369	0.9588614028
370	0.9588088571
371	0.9587583008
372	0.9586644077
373	0.9585487435
374	0.9583160869
375	0.9581825983
376	0.9580582583
377	0.9579668866
378	0.9578873301
379	0.9577978005
380	0.9577539545
381	0.9576723345
382	0.9576216551
383	0.9575213166
384	0.9574341907
385	0.9573431773
386	0.9571153339
387	0.9569880326
388	0.9568543907
389	0.956768051
390	0.9567058804
391	0.9565891466
392	0.9564891357
393	0.9563902917
394	0.9563288052
395	0.9562864738
396	0.9561925558
397	0.9561119835
398	0.9560254277
399	0.9559323735
400	0.9558550203
401	0.9557674704
402	0.9556732179
403	0.9555529601
404	0.9554441605
405	0.9553477425
406	0.9552336648
407	0.9550272289
408	0.9549758245
409	0.9548696843
410	0.954771415
411	0.9546809556
412	0.954613014
413	0.9544937686
414	0.9543683656
415	0.9543061353
416	0.9542167716
417	0.9541391552
418	0.9540529169
419	0.9540115785
420	0.9539298522
421	0.9538586417
422	0.9537740133
423	0.9536706231
424	0.9536390584
425	0.9535172363
426	0.953388054
427	0.9532933277
428	0.9532681169
