iter	Passed	Remaining
0	23	25890
1	62	34404
2	100	36591
3	132	36183
4	166	36474
5	196	35879
6	237	37070
7	281	38466
8	327	39724
9	368	40181
10	400	39696
11	435	39457
12	474	39661
13	509	39544
14	544	39377
15	581	39413
16	614	39138
17	645	38831
18	681	38797
19	716	38676
20	754	38749
21	791	38782
22	815	38178
23	851	38161
24	888	38202
25	926	38267
26	964	38326
27	1006	38539
28	1042	38501
29	1082	38592
30	1111	38332
31	1145	38244
32	1177	38082
33	1212	38022
34	1249	38013
35	1283	37927
36	1320	37944
37	1356	37913
38	1395	37977
39	1434	38017
40	1479	38224
41	1526	38462
42	1560	38360
43	1595	38281
44	1628	38186
45	1665	38163
46	1698	38061
47	1737	38072
48	1775	38089
49	1817	38176
50	1858	38219
51	1901	38327
52	1941	38362
53	1981	38385
54	2017	38327
55	2048	38190
56	2084	38148
57	2115	38009
58	2148	37908
59	2186	37906
60	2221	37839
61	2258	37815
62	2293	37744
63	2328	37686
64	2361	37603
65	2395	37535
66	2431	37490
67	2473	37540
68	2501	37370
69	2525	37157
70	2564	37173
71	2587	36950
72	2609	36713
73	2638	36588
74	2678	36600
75	2718	36634
76	2757	36634
77	2790	36557
78	2829	36567
79	2863	36515
80	2895	36424
81	2929	36369
82	2967	36366
83	3001	36308
84	3032	36206
85	3068	36175
86	3107	36186
87	3143	36146
88	3180	36134
89	3220	36136
90	3245	35991
91	3267	35802
92	3290	35631
93	3313	35465
94	3335	35285
95	3370	35251
96	3404	35203
97	3444	35213
98	3479	35181
99	3511	35119
100	3545	35069
101	3588	35114
102	3622	35061
103	3661	35063
104	3697	35035
105	3734	35020
106	3768	34969
107	3799	34895
108	3835	34868
109	3872	34849
110	3913	34869
111	3953	34879
112	3989	34845
113	4031	34865
114	4069	34859
115	4102	34799
116	4140	34784
117	4178	34775
118	4215	34753
119	4251	34719
120	4289	34709
121	4323	34662
122	4360	34639
123	4404	34666
124	4434	34590
125	4467	34536
126	4504	34512
127	4547	34532
128	4581	34484
129	4623	34496
130	4662	34490
131	4698	34456
132	4736	34439
133	4763	34340
134	4801	34321
135	4832	34256
136	4867	34212
137	4898	34150
138	4934	34117
139	4968	34069
140	5004	34040
141	5034	33967
142	5070	33935
143	5109	33919
144	5141	33861
145	5176	33826
146	5213	33795
147	5250	33776
148	5283	33724
149	5313	33652
150	5350	33625
151	5383	33576
152	5421	33557
153	5453	33501
154	5475	33381
155	5501	33290
156	5526	33195
157	5551	33098
158	5571	32976
159	5593	32862
160	5628	32828
161	5667	32812
162	5698	32760
163	5731	32711
164	5760	32644
165	5803	32655
166	5844	32653
167	5880	32620
168	5910	32557
169	5939	32490
170	5970	32436
171	6005	32402
172	6037	32352
173	6073	32322
174	6106	32279
175	6140	32240
176	6175	32204
177	6212	32179
